"","n","m","y","q","x","m_qy","xy_m","h","is_h_max","is_m_qy_min","is_xy_m_min"
"19733",38,155,9,17,18,2,7,778.767425920513,FALSE,FALSE,FALSE
"19734",38,155,10,15,16,5,5,778.345816373126,FALSE,FALSE,FALSE
"19735",38,155,11,14,15,1,10,779.364651173618,FALSE,FALSE,FALSE
"19736",38,155,12,12,13,11,1,780.81004348471,FALSE,FALSE,FALSE
"19737",38,156,5,31,32,1,4,786.180838673035,FALSE,FALSE,FALSE
"19738",38,156,6,26,26,0,0,787.777537130928,TRUE,TRUE,TRUE
"19739",38,156,7,22,23,2,5,785.303861117794,FALSE,FALSE,FALSE
"19740",38,156,8,19,20,4,4,785.056236080783,FALSE,FALSE,FALSE
"19741",38,156,9,17,18,3,6,784.539033218573,FALSE,FALSE,FALSE
"19742",38,156,10,15,16,6,4,784.789850165627,FALSE,FALSE,FALSE
"19743",38,156,11,14,15,2,9,784.424895936658,FALSE,FALSE,FALSE
"19744",38,156,12,13,13,0,0,787.777537130928,TRUE,TRUE,TRUE
"19745",38,157,5,31,32,2,3,792.017078584706,FALSE,FALSE,TRUE
"19746",38,157,6,26,27,1,5,792.054622524486,TRUE,TRUE,FALSE
"19747",38,157,7,22,23,3,4,791.326836615166,FALSE,FALSE,FALSE
"19748",38,157,8,19,20,5,3,791.528553065392,FALSE,FALSE,TRUE
"19749",38,157,9,17,18,4,5,790.650438590223,FALSE,FALSE,FALSE
"19750",38,157,10,15,16,7,3,791.401330932949,FALSE,FALSE,TRUE
"19751",38,157,11,14,15,3,8,790.008388843462,FALSE,FALSE,FALSE
"19752",38,157,12,13,14,1,11,791.379998098541,FALSE,TRUE,FALSE
"19753",38,158,5,31,32,3,2,798.376566640143,TRUE,FALSE,TRUE
"19754",38,158,6,26,27,2,4,797.718002279164,FALSE,TRUE,FALSE
"19755",38,158,7,22,23,4,3,797.689610186128,FALSE,FALSE,FALSE
"19756",38,158,8,19,20,6,2,798.202225185507,FALSE,FALSE,TRUE
"19757",38,158,9,17,18,5,4,797.01451550109,FALSE,FALSE,FALSE
"19758",38,158,10,15,16,8,2,798.156158762304,FALSE,FALSE,TRUE
"19759",38,158,11,14,15,4,7,795.931679823856,FALSE,FALSE,FALSE
"19760",38,158,12,13,14,2,10,796.368753427275,FALSE,TRUE,FALSE
"19761",38,159,5,31,32,4,1,805.07585276917,TRUE,FALSE,TRUE
"19762",38,159,6,26,27,3,3,803.904630177607,FALSE,TRUE,FALSE
"19763",38,159,7,22,23,5,2,804.305055296307,FALSE,FALSE,FALSE
"19764",38,159,8,19,20,7,1,805.043344280443,FALSE,FALSE,TRUE
